"itinerary_id","user_id","trip_name","city","start_date","end_date","hotel_location_id","created_at","updated_at"
1,4,"Test Trips","Bath","2026-03-12","2026-03-13",153,"2026-03-12 09:39:20","2026-04-07 08:09:08"
2,4,"Day trip to Bath","Bath","2026-03-28","2026-03-20",153,"2026-03-20 11:20:10","2026-04-07 07:58:04"
3,4,"Trip to London","London","2026-04-07","2026-04-08",56,"2026-04-07 07:47:55","2026-04-07 07:47:55"
4,7,"York History","York","2026-05-18","2026-05-20",384,"2026-04-12 17:00:22","2026-04-12 17:00:22"
5,13,"City Break","Oxford","2026-06-02","2026-06-07",217,"2026-04-14 15:04:47","2026-04-14 15:04:47"
6,15,"Trip with family","London","2026-04-17","2026-04-22",52,"2026-04-17 19:47:46","2026-04-17 19:50:14"
7,15,"Break with my mates","London","2026-04-18","2026-04-23",52,"2026-04-17 19:51:41","2026-04-17 19:51:41"
8,15,"New Trip","London","2026-04-17","2026-04-18",53,"2026-04-17 20:44:15","2026-04-17 20:44:15"
9,2,"Trip to Bedford","Bedford","2026-04-18","2026-04-19",399,"2026-04-18 14:47:08","2026-04-18 14:47:08"
10,19,"London weekend","London","2026-04-19","2026-04-22",53,"2026-04-19 15:52:31","2026-04-19 15:52:31"
11,19,"Cornwall trip","London","2027-05-19","2027-05-22",53,"2026-04-19 16:05:50","2026-04-19 16:20:36"
12,19,"Cornwall trip","London","2026-04-19","2026-04-22",53,"2026-04-19 16:12:30","2026-04-19 16:12:30"
13,2,"Bedford Trip","Bedford","2026-05-25","2026-05-26",399,"2026-04-19 17:22:27","2026-04-19 17:22:27"
14,20,"New Trip","Cambridge","2027-02-25","2027-02-28",140,"2026-04-19 18:22:18","2026-04-19 18:22:18"
16,20,"New Trip","London","2026-04-29","2026-05-01",60,"2026-04-19 18:44:28","2026-04-19 18:44:28"
17,21,"Edinburgh with the divas","Edinburgh","2026-04-20","2026-04-24",216,"2026-04-19 19:05:39","2026-04-19 19:05:39"
18,20,"New Trip","Bedford","2026-04-19","2026-04-19",399,"2026-04-19 19:36:48","2026-04-19 19:36:48"
19,20,"New Trip","Bedford","2026-04-30","2026-04-30",399,"2026-04-19 19:59:40","2026-04-19 19:59:40"
20,23,"Liverpool","Liverpool","2026-04-26","2026-05-02",295,"2026-04-20 14:27:27","2026-04-20 14:27:27"
21,19,"Bath","Bath","2026-04-27","2026-05-01",153,"2026-04-22 20:21:50","2026-04-22 20:21:50"
22,24,"trip!","Bath","2026-04-23","2026-05-01",153,"2026-04-22 21:07:15","2026-04-22 21:07:15"
23,24,"trip1","Bath","2026-04-23","2026-05-01",153,"2026-04-22 21:17:57","2026-04-22 21:17:57"
