"stop_id","itinerary_day_id","location_id","stop_position","start_time","end_time","notes"
10,4,1,1,"","",""
11,4,110,2,"","",""
12,4,109,3,"","",""
13,5,72,1,"","",""
14,5,74,2,"","",""
15,5,79,3,"","",""
58,20,290,1,"","",""
59,20,148,2,"","",""
60,20,311,3,"","",""
73,25,280,1,"","",""
74,25,290,2,"","",""
75,25,288,3,"","",""
76,26,151,1,"","",""
77,26,289,2,"","",""
78,26,9,3,"","",""
79,27,19,1,"","",""
80,27,227,2,"","",""
81,28,20,1,"","",""
82,28,18,2,"","",""
83,29,228,1,"","",""
84,30,317,1,"","",""
85,30,144,2,"","",""
86,31,230,1,"","",""
87,31,142,2,"","",""
88,32,145,1,"","",""
89,32,49,2,"","",""
90,33,143,1,"","",""
91,33,229,2,"","",""
92,34,146,1,"","",""
118,45,1,1,"","",""
119,45,18,2,"","",""
120,45,5,3,"","",""
121,45,16,4,"","",""
122,45,24,5,"","",""
123,46,80,1,"","",""
124,46,215,2,"","",""
125,46,23,3,"","",""
126,47,1,1,"","",""
127,47,18,2,"","",""
128,47,5,3,"","",""
129,47,16,4,"","",""
130,47,24,5,"","",""
131,48,130,1,"","",""
132,48,342,2,"","",""
133,48,1,3,"","",""
134,49,1,1,"","",""
135,50,386,1,"","",""
136,50,397,2,"","",""
137,50,387,3,"","",""
138,51,388,1,"","",""
139,51,396,2,"","",""
140,51,385,3,"","",""
173,60,69,1,"","",""
174,60,90,2,"","",""
175,60,121,3,"","",""
176,60,110,4,"","",""
177,61,347,1,"","",""
178,61,348,2,"","",""
179,61,77,3,"","",""
180,61,88,4,"","",""
181,62,1,1,"","",""
182,62,116,2,"","",""
183,62,341,3,"","",""
184,62,98,4,"","",""
185,63,80,1,"","",""
186,63,103,2,"","",""
187,63,2,3,"","",""
188,63,122,4,"","",""
189,64,69,1,"","",""
190,64,90,2,"","",""
191,64,121,3,"","",""
192,64,110,4,"","",""
193,65,347,1,"","",""
194,65,348,2,"","",""
195,65,77,3,"","",""
196,65,88,4,"","",""
197,66,1,1,"","",""
198,66,116,2,"","",""
199,66,341,3,"","",""
200,66,98,4,"","",""
201,67,80,1,"","",""
202,67,103,2,"","",""
203,67,2,3,"","",""
204,67,122,4,"","",""
205,68,69,1,"","",""
206,68,90,2,"","",""
207,68,121,3,"","",""
208,68,110,4,"","",""
209,69,347,1,"","",""
210,69,348,2,"","",""
211,69,77,3,"","",""
212,69,88,4,"","",""
213,70,1,1,"","",""
214,70,116,2,"","",""
215,70,341,3,"","",""
216,70,98,4,"","",""
217,71,80,1,"","",""
218,71,103,2,"","",""
219,71,2,3,"","",""
220,71,122,4,"","",""
221,72,386,1,"","",""
222,72,396,2,"","",""
223,72,390,3,"","",""
224,73,397,1,"","",""
225,73,387,2,"","",""
226,73,385,3,"","",""
234,78,141,1,"","",""
235,78,136,2,"","",""
236,79,138,1,"","",""
237,79,139,2,"","",""
238,80,231,1,"","",""
239,80,232,2,"","",""
240,81,137,1,"","",""
241,82,123,1,"","",""
242,82,2,2,"","",""
243,82,351,3,"","",""
244,83,100,1,"","",""
245,83,85,2,"","",""
246,83,135,3,"","",""
247,84,107,1,"","",""
248,84,70,2,"","",""
249,84,98,3,"","",""
250,85,12,1,"","",""
251,86,13,1,"","",""
252,87,11,1,"","",""
253,88,387,1,"","",""
254,88,397,2,"","",""
255,88,385,3,"","",""
256,89,387,1,"","",""
257,89,385,2,"","",""
258,89,389,3,"","",""
259,89,396,4,"","",""
260,89,2,5,"","",""
261,89,3,6,"","",""
262,89,4,7,"","",""
263,89,1,8,"","",""
264,89,5,9,"","",""
265,89,6,10,"","",""
266,89,7,11,"","",""
267,89,8,12,"","",""
268,89,9,13,"","",""
269,89,10,14,"","",""
270,89,11,15,"","",""
271,89,12,16,"","",""
274,91,314,1,"","",""
275,91,21,2,"","",""
276,92,324,1,"","",""
277,92,318,2,"","",""
286,97,9,1,"","",""
287,98,150,1,"","",""
288,98,288,2,"","",""
289,98,289,3,"","",""
290,99,148,1,"","",""
291,99,9,2,"","",""
292,99,150,3,"","",""
293,99,151,4,"","",""
294,100,9,1,"","",""
295,100,9,2,"","",""
296,101,9,1,"","",""
297,101,148,2,"","",""
298,101,148,3,"","",""
299,101,150,4,"","",""
300,102,279,1,"","",""
301,102,289,2,"","",""
302,102,289,3,"","",""
303,102,150,4,"","",""
304,102,150,5,"","",""
305,103,16,1,"","",""
306,103,17,2,"","",""
307,104,7,1,"","",""
308,104,2,2,"","",""
309,104,2,3,"","",""
310,105,6,1,"","",""
311,105,6,2,"","",""
312,105,5,3,"","",""
313,105,5,4,"","",""
314,106,28,1,"","",""
315,106,27,2,"","",""
316,106,1,3,"","",""
317,107,23,1,"","",""
318,107,23,2,"","",""
319,107,20,3,"","",""
320,108,19,1,"","",""
321,108,24,2,"","",""
322,108,15,3,"","",""
323,109,29,1,"","",""
324,109,30,2,"","",""
325,109,15,3,"","",""
326,110,25,1,"","",""
327,110,25,2,"","",""
328,110,26,3,"","",""
329,111,9,1,"","",""
330,111,9,2,"","",""
331,112,9,1,"","",""
332,112,9,2,"","",""
333,112,9,3,"","",""
334,112,9,4,"","",""
335,113,9,1,"","",""
336,113,148,2,"","",""
337,113,148,3,"","",""
338,113,148,4,"","",""
339,113,148,5,"","",""
340,114,148,1,"","",""
341,114,279,2,"","",""
342,115,150,1,"","",""
343,115,150,2,"","",""
344,115,150,3,"","",""
345,116,289,1,"","",""
346,116,289,2,"","",""
347,116,10,3,"","",""
348,116,16,4,"","",""
349,117,7,1,"","",""
350,117,7,2,"","",""
351,117,17,3,"","",""
352,118,2,1,"","",""
353,118,2,2,"","",""
354,118,2,3,"","",""
355,119,5,1,"","",""
356,119,8,2,"","",""
357,119,2,3,"","",""
358,120,6,1,"","",""
359,120,5,2,"","",""
360,120,5,3,"","",""
361,121,1,1,"","",""
362,121,1,2,"","",""
363,121,6,3,"","",""
364,122,1,1,"","",""
365,122,4,2,"","",""
366,123,27,1,"","",""
367,124,27,1,"","",""
368,125,28,1,"","",""
369,125,28,2,"","",""
370,125,23,3,"","",""
371,125,23,4,"","",""
372,125,23,5,"","",""
373,125,20,6,"","",""
374,126,19,1,"","",""
375,126,24,2,"","",""
376,126,24,3,"","",""
377,126,11,4,"","",""
378,126,15,5,"","",""
379,126,15,6,"","",""
380,126,30,7,"","",""
381,127,25,1,"","",""
382,127,29,2,"","",""
383,127,29,3,"","",""
384,127,30,4,"","",""
385,128,25,1,"","",""
386,128,25,2,"","",""
387,128,25,3,"","",""
388,128,26,4,"","",""
389,128,26,5,"","",""
